NodeNames,Local_Efficiency,Clustering_Coefficient,Betweenness_Centrality,E_global
lG_front_middle,0.366836412832934,0.331466868126478,-1.3602966552554,-0.762851641535432
lG_front_sup,-0.455320507941957,-0.344569756485328,1.59482338540349,0.131535815670502
lG_pariet_inf.Angular,1.07390838184958,0.527213518426045,-1.55108582860411,-0.144443041658102
lG_pariet_inf.Supramar,1.06523791467706,1.3065069881443,-0.474759546638613,0.443097767953628
lG_parietal_sup,-0.635154458709616,-1.04218247174978,2.32973662007597,1.28213089570948
lS_front_middle,-0,-0,1.25034906272686,-0.542752358032304
lS_front_sup,-0.195639395653347,-0.208276213686543,1.12763165378161,0.297138796745245
lS_intrapariet_and_P_trans,0.837039031174777,1.00090390279955,-0.410063353322156,0.158821369215623
rG_front_middle,0.944961144108695,0.580196820188563,-1.66326140768105,-0.393697636362097
rG_front_sup,-4.33905710312781,-4.77959715123964,4.4022424174577,2.49257224543619
rG_pariet_inf.Angular,1.58939055391233,1.28515087430236,-2.16894344937452,0.863055643883932
rG_pariet_inf.Supramar,1.30732566486593,0.795918710051743,1.17252094014467,1.29985818839682
rG_parietal_sup,-4.21252004360974,-4.61172087007966,3.69965676746039,3.15707262454175
rS_front_middle,-0.734065589506934,-0.734065589558681,0.742377776730787,1.54956950937216
rS_front_sup,0.708004970557856,0.726527367674124,-1.02879816362256,-0.0767501581277123
rS_intrapariet_and_P_trans,0.740588005615436,0.665434402578759,0.022876598232936,1.75781976591304
